dateCrawled,name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage,dateCreated,nrOfPictures,postalCode,lastSeen
04/04/16 0:38,BMW_528i_touring,privat,Angebot,2100,test,kombi,1998,automatik,193,5er,150000,2,benzin,bmw,nein,03/04/16 0:00,0,86157,06/04/16 8:16
25/03/16 14:40,VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen,,25/03/16 0:00,0,48499,31/03/16 21:47
04/04/16 14:06,Mercedes_Benz_B180_Automatik,privat,Angebot,13500,test,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz,nein,04/04/16 0:00,0,35576,05/04/16 12:09
30/03/16 8:50,BMW_120i_Cabrio_mit_M_Paket,privat,Angebot,14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw,,30/03/16 0:00,0,48691,07/04/16 0:17
07/03/16 18:57,Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat,ja,07/03/16 0:00,0,66115,07/03/16 18:57
04/04/16 10:57,Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Angebot,1400,control,,2016,manuell,55,andere,5000,1,,hyundai,,04/04/16 0:00,0,34454,06/04/16 12:45
29/03/16 18:53,Bmw_318_d_Sport_Edition_Facelift,privat,Angebot,7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw,,29/03/16 0:00,0,71083,06/04/16 4:45
17/03/16 7:56,Opel_signum_1.9_cdti,privat,Angebot,4700,control,kombi,2005,manuell,0,signum,150000,0,,opel,nein,17/03/16 0:00,0,88433,04/04/16 4:17
26/03/16 10:39,auto_opel_astra,privat,Angebot,550,test,kombi,1999,manuell,0,astra,150000,8,diesel,opel,ja,26/03/16 0:00,0,56759,01/04/16 23:17
21/03/16 1:59,BMW_435i_Sport_coupe,privat,Angebot,39600,test,coupe,2014,automatik,306,andere,30000,7,benzin,bmw,nein,21/03/16 0:00,0,10435,03/04/16 23:16
22/03/16 17:56,Smart_Cabrio_T‹V_bis_07/17,privat,Angebot,3000,control,cabrio,2006,automatik,61,fortwo,80000,1,benzin,smart,nein,22/03/16 0:00,0,12055,22/03/16 17:56
10/03/16 20:53,Seat_inca_1.9SDI___LKW_Zulassung___T‹V_NEU,privat,Angebot,2399,test,,2018,manuell,64,andere,125000,3,,seat,nein,10/03/16 0:00,0,33397,25/03/16 10:17
31/03/16 8:57,Volkswagen_Golf_1.6_Comfortline,privat,Angebot,1000,control,limousine,1998,manuell,101,golf,150000,10,benzin,volkswagen,nein,31/03/16 0:00,0,39624,06/04/16 3:15
29/03/16 15:48,TAUSCHE_BMW_E38_740i_g._SUV_/_GELƒNDEWAGEN_LESEN_LESEN,privat,Angebot,1,control,suv,1994,manuell,286,,150000,11,,sonstige_autos,,29/03/16 0:00,0,53721,06/04/16 1:44
26/03/16 7:54,Bmw_316i_compact.____200Ä,privat,Angebot,200,test,coupe,1995,manuell,102,3er,150000,4,benzin,bmw,,26/03/16 0:00,0,23560,01/04/16 20:46
25/03/16 19:44,Audi_A8_3.0_TDI_quattro,privat,Angebot,7499,test,limousine,2004,automatik,232,a8,150000,3,diesel,audi,ja,25/03/16 0:00,0,71711,07/04/16 1:44
30/03/16 12:49,Skoda_Fabia_1.2,privat,Angebot,5500,control,kleinwagen,2010,manuell,60,fabia,70000,4,benzin,skoda,nein,30/03/16 0:00,0,57076,07/04/16 3:44
08/03/16 12:54,Volkswagen_Jetta_1.9_TDI_DSG_DPF_Sportline,privat,Angebot,7000,test,limousine,2006,automatik,105,jetta,100000,10,diesel,volkswagen,nein,08/03/16 0:00,0,6242,11/03/16 17:16
07/03/16 22:36,BMW_325_i_Cabrio_wenig_Kilometer,privat,Angebot,14999,test,cabrio,2007,manuell,218,3er,50000,8,benzin,bmw,nein,07/03/16 0:00,0,1129,15/03/16 10:17
28/03/16 17:41,Opel_Astra_1.4_mit_vielen_Extras!!!!,privat,Angebot,10900,test,,2017,manuell,101,astra,50000,3,,opel,nein,28/03/16 0:00,0,63607,06/04/16 23:15
15/03/16 14:50,Volkswagen_Scirocco_1.4_TSI___Top_Zustand_!!!!,privat,Angebot,9700,test,coupe,2008,manuell,160,scirocco,150000,8,benzin,volkswagen,nein,15/03/16 0:00,0,55218,06/04/16 4:17
21/03/16 12:47,Honda_HRV_reserviert!!!,privat,Angebot,2100,control,suv,2000,manuell,105,andere,150000,8,benzin,honda,nein,09/02/16 0:00,0,85244,31/03/16 16:46
15/03/16 9:51,Mercedes_Benz_190,privat,Angebot,1280,control,limousine,1992,automatik,109,andere,150000,9,benzin,mercedes_benz,,15/03/16 0:00,0,86163,05/04/16 19:18
01/04/16 11:56,Opel_astra_g_coupe_1.8_liter_benziner,privat,Angebot,1200,test,coupe,2001,,0,astra,150000,0,,opel,,01/04/16 0:00,0,47249,07/04/16 8:46
08/03/16 1:36,Volkswagen_Polo,privat,Angebot,800,control,kleinwagen,1993,manuell,0,polo,150000,3,benzin,volkswagen,nein,08/03/16 0:00,0,8258,05/04/16 23:46
07/03/16 8:55,BMW_520i_E39,privat,Angebot,2300,control,,1997,manuell,150,5er,150000,3,,bmw,nein,07/03/16 0:00,0,79341,22/03/16 5:15
05/03/16 16:45,Ford_Fiesta,privat,Angebot,750,control,kleinwagen,2002,manuell,50,fiesta,150000,4,benzin,ford,nein,05/03/16 0:00,0,70327,11/03/16 6:16
22/03/16 17:45,Mercedes_Benz_C_180_T_Kompressor_Avantgarde,privat,Angebot,7999,control,kombi,2008,manuell,156,c_klasse,150000,10,benzin,mercedes_benz,nein,22/03/16 0:00,0,83355,25/03/16 9:47
31/03/16 18:46,VW_Golf_V_Plus_TDI_1_8,privat,Angebot,6600,control,limousine,2006,manuell,105,golf,150000,10,diesel,volkswagen,nein,31/03/16 0:00,0,41812,31/03/16 18:46
17/03/16 9:48,Nissan_Micra_1.2_CVT,privat,Angebot,7999,test,kleinwagen,2013,manuell,80,micra,40000,4,benzin,nissan,nein,17/03/16 0:00,0,46145,06/04/16 7:44
11/03/16 14:50,MB_Vito_Transporter_108_CDI,privat,Angebot,1400,control,andere,2003,manuell,82,vito,150000,8,diesel,mercedes_benz,nein,11/03/16 0:00,0,4668,11/03/16 14:50
31/03/16 22:48,Golf_4_TDi_1_9.__3_tuerig,privat,Angebot,800,test,,2000,manuell,90,golf,150000,2,diesel,volkswagen,,31/03/16 0:00,0,32584,06/04/16 19:15
10/03/16 10:50,Mercedes_Benz_311_CDI_Sprinter_DOKA_6_SITZ._T‹V/AU_NEU,privat,Angebot,5000,test,bus,2006,manuell,109,sprinter,150000,4,diesel,mercedes_benz,nein,10/03/16 0:00,0,26382,12/03/16 14:45
11/03/16 23:42,Mercedes_Benz_E_250_CDI_Mod.2011_Automatik_NAVI_XENON_Glasdach,privat,Angebot,20300,test,limousine,2010,automatik,204,e_klasse,80000,12,diesel,mercedes_benz,nein,11/03/16 0:00,0,51491,03/04/16 1:26
17/03/16 18:52,Opel_Astra_F_Cabrio,privat,Angebot,150,control,,2016,manuell,75,astra,150000,3,benzin,opel,ja,17/03/16 0:00,0,78315,05/04/16 3:45
01/04/16 22:39,muss_dringend_weg_!!!_2_mal_Alfa_romeo_156_Zu_Verkaufen,privat,Angebot,250,test,kombi,2000,manuell,155,156,150000,0,benzin,alfa_romeo,ja,01/04/16 0:00,0,8396,05/04/16 20:18
03/04/16 12:56,Bastler_Fahrzeug_mit_Rest_Tuev,privat,Angebot,350,control,kleinwagen,1997,manuell,54,,150000,3,,fiat,ja,03/04/16 0:00,0,45665,05/04/16 11:47
09/03/16 21:46,Ford_Escort_CLX,privat,Angebot,600,test,limousine,1994,manuell,75,escort,100000,6,benzin,ford,ja,09/03/16 0:00,0,37359,05/04/16 23:44
23/03/16 18:59,Mercedes_Benz_C_220_T_CDI_Avantgarde,privat,Angebot,3300,test,kombi,2005,manuell,150,c_klasse,150000,9,diesel,mercedes_benz,ja,23/03/16 0:00,0,29221,23/03/16 18:59
12/03/16 19:46,SUBARU_FORESTER,privat,Angebot,1600,test,kombi,1997,automatik,122,forester,150000,10,benzin,subaru,nein,12/03/16 0:00,0,87497,15/03/16 6:46
29/03/16 14:58,Volvo_XC90_AWD_D5_Kinetic_Leder_Standheizung_AHK_Gruene_Umweltpl,privat,Angebot,8000,test,suv,2005,manuell,185,xc_reihe,150000,8,diesel,volvo,,29/03/16 0:00,0,96472,03/04/16 23:18
13/03/16 19:52,Mitsubishi_L_400,privat,Angebot,1800,control,bus,2001,manuell,87,andere,150000,7,diesel,mitsubishi,nein,13/03/16 0:00,0,24116,17/03/16 13:47
08/03/16 13:49,Fiesta_Titanium_1.25,privat,Angebot,6800,control,kleinwagen,2009,manuell,82,fiesta,60000,12,benzin,ford,nein,08/03/16 0:00,0,51065,05/04/16 19:18
07/03/16 17:38,Renault_Scenic,privat,Angebot,2990,test,bus,2004,manuell,113,scenic,150000,12,benzin,renault,nein,07/03/16 0:00,0,41836,09/03/16 6:15
28/03/16 9:37,MERCEDES_BENZ_W124_250D_83KW_/_113PS___SCHLACHTFEST_!!!_Preis:_1Ä,privat,Angebot,1,control,limousine,1995,manuell,113,e_klasse,150000,4,diesel,mercedes_benz,nein,28/03/16 0:00,0,40589,06/04/16 12:15
23/03/16 11:53,A4_Diesel_Leder_Top___NAVI,privat,Angebot,2400,test,limousine,2003,manuell,0,a4,150000,9,diesel,audi,,23/03/16 0:00,0,40210,23/03/16 11:53
02/04/16 23:25,Senator_A2__3_0E__180PS__CD_Ausstattung.,privat,Angebot,1222,control,limousine,1984,automatik,180,andere,150000,3,benzin,opel,,02/04/16 0:00,0,57290,06/04/16 14:44
16/03/16 7:56,FORD_KA___T‹V_ABGELAUFEN,privat,Angebot,250,control,,2000,,60,ka,150000,0,,ford,,16/03/16 0:00,0,51427,21/03/16 9:47
10/03/16 11:44,Audi_A1_1.2_TFSI_S_Line,privat,Angebot,14500,test,kleinwagen,2013,manuell,86,a1,60000,4,benzin,audi,nein,10/03/16 0:00,0,31582,07/04/16 1:15
28/03/16 16:37,unfall_Opel_insignia_voll_Ausstattung__T‹V_neu__ideal_fuer_Bastler,privat,Angebot,8390,test,,2009,,0,insignia,150000,0,,opel,,28/03/16 0:00,0,29221,30/03/16 7:44
25/03/16 18:44,Volkswagen_Passat_1.9_TDI,privat,Angebot,3850,test,limousine,2003,manuell,131,passat,150000,5,diesel,volkswagen,nein,25/03/16 0:00,0,30459,07/04/16 0:16
31/03/16 10:53,BMW_318d_Aut.__Xenon__Navi__Sportsitze_FESTREIS!,privat,Angebot,23490,control,limousine,2013,automatik,143,3er,40000,6,diesel,bmw,nein,31/03/16 0:00,0,49356,06/04/16 3:44
26/03/16 15:38,VW_t5_kastenwagen,privat,Angebot,6450,test,bus,2008,manuell,84,transporter,150000,12,,volkswagen,nein,26/03/16 0:00,0,44623,06/04/16 3:17
01/04/16 12:45,Mercedes_A_Klasse____Top_Zustand___T‹V/AU___neu_!_Halbautomatik,privat,Angebot,1700,test,kleinwagen,1999,automatik,102,a_klasse,125000,11,benzin,mercedes_benz,nein,01/04/16 0:00,0,12305,01/04/16 12:45
11/03/16 19:00,OPEL_COMBO_2008__T‹V_Neu_bis_02.2018__DIESEL___LKW_ZULLASUNG,privat,Angebot,4290,test,bus,2008,manuell,0,combo,150000,2,diesel,opel,nein,11/03/16 0:00,0,23568,05/04/16 22:45
28/03/16 0:56,Ford_Focus_Turnier_1.6_TDCi_DPF,privat,Angebot,1500,control,kombi,2006,manuell,109,focus,150000,10,diesel,ford,nein,27/03/16 0:00,0,74223,02/04/16 11:47
15/03/16 17:41,Audi_A4_B5_1_6_Liter,privat,Angebot,499,control,limousine,1995,manuell,101,a4,150000,5,benzin,audi,,15/03/16 0:00,0,85414,22/03/16 20:48
16/03/16 16:44,Hyundai_Genesis_Coupe_GT_3.8_V6_Automatik,privat,Angebot,22999,control,coupe,2012,automatik,303,andere,50000,4,benzin,hyundai,nein,16/03/16 0:00,0,88167,06/04/16 20:18
01/04/16 9:54,Audi_a4_2.5_TDI_Tausch_moeglich,privat,Angebot,6500,test,limousine,2004,manuell,163,a4,150000,4,diesel,audi,,01/04/16 0:00,0,97450,01/04/16 9:54
26/03/16 7:36,verkaufe_Mercedes_Benz_220_CDI_Sport_8_fach_Bereift,privat,Angebot,900,test,kombi,1999,manuell,125,c_klasse,150000,7,diesel,mercedes_benz,nein,26/03/16 0:00,0,37130,29/03/16 11:44
21/03/16 10:47,BMW_316_automatikgetriebe_Klimaanlage,privat,Angebot,650,test,limousine,1997,automatik,102,3er,150000,8,benzin,bmw,,21/03/16 0:00,0,13357,22/03/16 14:49
20/03/16 12:59,Ford_Escort_Cabrio,privat,Angebot,300,test,cabrio,1992,manuell,105,escort,150000,0,,ford,ja,20/03/16 0:00,0,88515,06/04/16 13:15
02/04/16 12:54,Audi_TT_Coupe_1.8_T_quattro,privat,Angebot,3399,test,coupe,1999,manuell,224,tt,150000,9,benzin,audi,ja,02/04/16 0:00,0,61276,05/04/16 19:44
23/03/16 10:59,Volkswagen_Passat_Variant_1.6_Kombi_mit_T‹V_und_AHK,privat,Angebot,1300,control,kombi,1997,manuell,101,passat,150000,10,benzin,volkswagen,nein,23/03/16 0:00,0,4277,29/03/16 4:46
16/03/16 23:25,Honda_Civic_EG4,privat,Angebot,900,test,,1995,manuell,90,civic,150000,3,benzin,honda,,16/03/16 0:00,0,35789,19/03/16 17:19
22/03/16 17:44,530d_XDRIVE_235_PS,privat,Angebot,7300,control,limousine,2009,automatik,235,5er,100000,3,diesel,bmw,nein,22/03/16 0:00,0,83022,22/03/16 17:44
26/03/16 15:47,Opel_Astra_Twin_Top_2.0_Turbo,privat,Angebot,8599,test,cabrio,2006,manuell,200,astra,125000,9,benzin,opel,nein,26/03/16 0:00,0,79761,06/04/16 4:15
03/04/16 3:57,Opel_Corsa_T‹V_bis_Ende_2016,privat,Angebot,350,test,kleinwagen,1998,,0,corsa,150000,2,benzin,opel,,03/04/16 0:00,0,82110,03/04/16 8:53
19/03/16 18:40,Golf_IV_1.4_16V,privat,Angebot,0,test,,2017,manuell,0,golf,5000,12,benzin,volkswagen,,19/03/16 0:00,0,21698,01/04/16 8:47
14/03/16 20:37,Audi_A6_2_5_TDi_Quattro_Avant_Automatic__Turbo__Kombi__132_KW__2_,privat,Angebot,5900,control,kombi,2005,automatik,178,a6,150000,1,diesel,audi,nein,14/03/16 0:00,0,88131,06/04/16 7:17
20/03/16 18:38,Volkswagen_Golf_1.8_5V_Turbo,privat,Angebot,6300,test,limousine,2002,manuell,265,golf,150000,3,benzin,volkswagen,nein,20/03/16 0:00,0,56759,07/04/16 1:45
04/04/16 9:50,Volkswagen_Corrado_1.8_G60,privat,Angebot,3500,control,coupe,1991,manuell,160,andere,150000,5,benzin,volkswagen,nein,04/04/16 0:00,0,66111,06/04/16 11:17
20/03/16 18:53,Polo_6n_Karosse_zu_verschenken,privat,Angebot,0,test,kleinwagen,1999,,0,,5000,0,benzin,volkswagen,,20/03/16 0:00,0,37520,07/04/16 2:45
09/03/16 17:47,BMW_320d_DPF,privat,Angebot,5950,test,limousine,2006,manuell,163,3er,150000,1,diesel,bmw,ja,09/03/16 0:00,0,63526,10/03/16 14:15
03/04/16 12:45,Honda_Jazz_1.2_S,privat,Angebot,1699,control,kleinwagen,2003,manuell,77,jazz,150000,8,benzin,honda,nein,03/04/16 0:00,0,42105,07/04/16 14:57
20/03/16 13:54,Volkswagen_vw_t4_Einzelstueck,privat,Angebot,4699,test,bus,1996,manuell,110,transporter,150000,8,benzin,volkswagen,nein,20/03/16 0:00,0,79713,25/03/16 13:45
23/03/16 12:54,Motorschaden_steuerrichmen_gerissen,privat,Angebot,400,control,limousine,2000,manuell,144,omega,150000,10,,opel,ja,23/03/16 0:00,0,45968,05/04/16 12:45
12/03/16 22:57,Volkswagen_Polo_1.4_FSI_Team,privat,Angebot,9290,control,kleinwagen,2010,manuell,86,polo,40000,5,benzin,volkswagen,nein,12/03/16 0:00,0,35630,26/03/16 6:17
18/03/16 11:25,Mercedes_Benz_Kabrio__Limousine___mit_Gas_Umbau....,privat,Angebot,7000,control,limousine,2003,manuell,120,slk,150000,5,benzin,mercedes_benz,nein,18/03/16 0:00,0,57578,23/03/16 8:44
01/04/16 17:56,Servo_Klima_Zv__usw,privat,Angebot,1199,test,kleinwagen,2000,manuell,60,twingo,150000,5,benzin,renault,nein,01/04/16 0:00,0,28832,05/04/16 13:44
27/03/16 12:36,Ford_Focus_1_6l*Klima*T‹V*,privat,Angebot,1750,test,limousine,2002,manuell,75,focus,125000,1,benzin,ford,nein,27/03/16 0:00,0,33330,27/03/16 12:36
18/03/16 23:41,Volkswagen_Golf_CL,privat,Angebot,1000,test,limousine,1990,manuell,54,golf,150000,2,benzin,volkswagen,nein,18/03/16 0:00,0,47447,05/04/16 23:16
11/03/16 20:55,BMW_740i,privat,Angebot,1800,control,limousine,1995,automatik,286,7er,150000,12,benzin,bmw,ja,11/03/16 0:00,0,77866,20/03/16 10:17
20/03/16 10:54,VW_Golf_6_1.4_Comfortline,privat,Angebot,8000,control,,2009,manuell,0,golf,100000,10,benzin,volkswagen,nein,20/03/16 0:00,0,94139,06/04/16 7:45
16/03/16 18:37,Opel_Combo_1.7_DTI___Kasten___Lkw_Zulassung___Euro3,privat,Angebot,1100,control,bus,2003,manuell,75,combo,150000,3,diesel,opel,nein,16/03/16 0:00,0,96224,24/03/16 11:46
09/03/16 20:37,Mercedes_Benz_E_270_T_CDI,privat,Angebot,2990,test,kombi,2001,automatik,170,e_klasse,150000,1,diesel,mercedes_benz,nein,09/03/16 0:00,0,53520,17/03/16 2:45
26/03/16 19:37,Opel_Corsa_1.0_T‹V_bis_01/17,privat,Angebot,300,control,kleinwagen,2000,manuell,54,corsa,150000,0,benzin,opel,,26/03/16 0:00,0,59379,06/04/16 9:15
